codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
0212;6500035.52;3954630.29;1538356.56;89931.07;917117.6;20268.61;89483.34;44671.24;918108.01;379552.39;1862447.08;9814566.19
0115;18342515.64;7310341.71;7681570.81;131143.6;3219459.52;852382.7;394289.34;41735.67;2153226.93;1404573.54;2134013.91;25322737.73
1309;16873706.76;6916059.35;6978075.81;982435.42;1997136.18;61297.57;1717683.11;18897.35;1172000.89;896126.49;2296828.78;23036540.95
1508;33829720.23;17606603.76;13219782.11;478674.15;2524660.21;202970;704278.52;101998.21;922400.1;341088.15;2104892.89;38207348.1
0612;7635753.76;2467325.25;3667577.51;1422.93;1499428.07;80105;323615.55;127027.53;757095.07;762290.5;355888.52;10041775.93
1310;29471255.51;13534117.16;11890153.41;840471.77;3206513.17;136939.15;3637604.07;132530.82;3559568.81;1241958.7;4794211.34;42974068.4
1605;6644771.03;2903982.57;2735159;420979.1;584650.36;0;510911.44;1545471.2;425352.76;141211.06;1706300.78;10974018.27
1013;4462771.7;1433592.25;1871427.24;570045.65;587706.56;17250;214608.19;72423.9;306802.12;410614.23;443073.52;5927543.66
0613;7333751.36;2613649.08;3643701.05;36203.09;1040198.14;28960.74;864909.24;255568.9;1749438.57;721040.62;911984.66;11865654.09
1311;22550968.29;11104610.02;8298689.73;267001.58;2880666.96;197668.74;4880018.69;1059821.77;3640876.89;1700973.04;2578137.03;36608464.45
1811;4900239.58;2250644.36;2032761.15;15696.15;601137.92;53443.12;124359.7;130249.5;1247374.37;542387.26;728887.05;7726940.58
0507;4970191.12;2041740.51;2492522.19;56911.28;379017.14;0;1055841.37;544360.52;303609.72;1045410.62;646777.18;8566190.53
1812;3993524.41;1669856.52;1806278.12;0;517389.77;245280.15;220678.99;468494.57;174654.53;997455.87;203642.62;6303731.14
