IMI;FINANCIAMENTO_UNIAO_EUROPEIA;TAXAS_MULTAS_OUTROS_IMPOSTOS;DSC_AUTARQUIA;IMPOSTOS_MUNICIPAIS;IUC;TRANSFERENCIAS_ORCAMENTO_ESTADO;ldk;IMT;CODIGO_PERIODO;CODIGOINE;VENDA_BENS_SERVICOS;DERRAMA_IRC;RECEITAS_TOTAIS;OUTRAS_RECEITAS
8436162.91;2267596.9;1060195.86;VISEU;14737922.19;1876148.8;11526375;T3_1823;1768403.15;T3;1823;5679443.44;1597011.47;37613063.86;3401726.33
1279965.22;1277486.36;376283.52;VIZELA;2248840.69;339216.46;3474873;T3_0314;153189.25;T3;0314;288653.91;100186.24;9004549.58;1714695.62
432983.31;493875.89;98541.82;VOUZELA;969498.59;166073.47;4214477;T3_1824;229605.16;T3;1824;1320552.28;42294.83;7311995.02;313591.26
3537717.68;70984.13;278990.97;ABRANTES;6294779.05;785307.86;11089775;T4_1401;646811.41;T4;1401;3453450.65;1045951.13;22509135.86;1600147.03
4401645.52;10306959.19;523186.48;ÁGUEDA;7897708.26;1149522.58;9479339;T4_0101;1028325.83;T4;0101;3360165.28;795027.85;34154486.07;3110314.34
401490.54;98779.66;50721.48;AGUIAR DA BEIRA;647092.43;147746.5;4986811;T4_0901;47133.91;T4;0901;1129727.37;0;7219999.06;357588.6
330763.47;793981.15;15356.66;ALANDROAL;569800.61;90784.3;5515797.64;T4_0701;105531.65;T4;0701;1071326.53;27364.53;9398656.23;1447750.3
2764116.06;1325518.89;268364.6;ALBERGARIA-A-VELHA;4633460.74;604811.39;5710270;T4_0102;567667.72;T4;0102;3299043.34;428500.97;15371667.53;403374.56
24044300.99;474138.46;2388668.26;ALBUFEIRA;34354651.25;1399650.65;5303367;T4_0801;5820094.61;T4;0801;24187201.25;701936.74;78750704.78;14431346.82
1536085.69;633041.86;1812498.41;ALCÁCER DO SAL;5620949.48;254892.51;9114873;T4_1501;1674911.16;T4;1501;1770693.5;342561.71;17636618.44;497060.6
1907287.7;820117.46;154871.48;ALCANENA;3051420.65;341320.36;4665104;T4_1402;223538.46;T4;1402;2062363.56;424402.65;11491533.66;892527.99
6835399.32;1632246.64;759001.39;ALCOBAÇA;10861962.32;1428939.93;10879866.88;T4_1001;1364193.29;T4;1001;3966774.13;474428.39;30392359.6;3051509.63
