codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;despesatotal
706;2226652.81;1431373.82;423312.04;10810.56;361156.39;20463.65;405086.38;16664.9;320443.2;401628.25;267541.59;3658480.78
610;2001932.61;965304.92;706039.75;256753.71;73834.23;0;105617.57;545052.04;309639.21;61852.13;389865.16;3413958.72
1507;5151373.49;3040844.44;1571794.88;46601.26;492132.91;1936.44;104172.31;15515.9;54103.88;56361.97;325460.86;5708924.85
707;1007208.56;522447.67;346612.87;5152.26;132995.76;3690;10811.52;16008.83;4997.46;90360.34;65323.86;1198400.57
1808;1014859.65;549237.48;241099.24;11338.97;213183.96;305.95;3044.38;94854.52;498966.87;15746.48;65885.71;1693663.56
210;2368613.05;1348358.14;770491.46;30399.95;219363.5;29700;0;36775.59;70531.38;525894.34;493293.15;3524807.51
708;1332359.26;665520.9;345486.11;46136.68;275215.57;0;0;12633.06;75722;15048.2;152516.52;1588279.04
1707;1213243.95;556231.6;370896.78;200053.3;86062.27;8250;0;1460.51;106787.04;932.46;279325.31;1609999.27
112;664472.16;356253.61;213018.49;33.72;95166.34;62269.17;15053.51;0;109855.07;340562.23;5954.11;1198166.25
1011;1617035.53;827201.04;441279.59;128268.61;220286.29;0;60442.24;3542.4;35003.7;49116.85;161880.75;1927021.47
1809;1591603.58;894584.05;528269.48;82357.88;86392.17;0;41.64;1751.62;111686.6;78357.95;69105.37;1852546.76
1212;1769442.51;894037.54;514037.09;20569.18;340798.7;0;5556.39;38903.88;118024.64;316018.71;75934.49;2323880.62
4202;766210.74;351193.39;228684.77;27921.27;158411.31;0;33168.93;5382.29;276701.11;50114.34;34322.87;1165900.28
1012;2783740.41;1187734.76;1309924.04;133317.37;152764.24;0;382239.79;75521.88;562453.04;218490.01;237522.84;4259967.97
211;4602092.59;1860322.95;1668407.64;19842.83;1053519.17;111963.14;907349.12;161284.98;18922.25;488733.33;587674.44;6878019.85
1116;10370438.18;5181241.79;3449357.93;240115.4;1499723.06;8712.6;73036.02;15000;54524.7;55153.92;880420.84;11457286.26
1110;14461847.37;7410907.51;5246647.02;126835.95;1677456.89;985909.83;219873.15;505833.08;496097.97;490573.51;584277.73;17744412.64
506;1176084.68;463025.53;614442.21;1730.98;96885.96;12728;3739.13;15596.19;152481.29;148552.51;229643.72;1738825.52
810;3401694.27;2014654.6;687608.46;55769.59;643661.62;7151.08;43518.65;28674.09;81150.43;129002.28;372032.62;4063223.42
113;5160699.46;2227982.77;1914020.98;105670.99;913024.72;9695.22;329769.7;5350.48;61494.35;292786.27;1915464.99;7775260.47
1810;1591806.71;612710.85;848495.76;15868.97;114731.13;16786;133172.15;48824.23;453283.21;130826.41;154826.36;2529525.07
114;1826920.92;1027545.98;619712.16;59788.28;119874.5;120579.5;403626.97;164561.51;745330.86;21169.81;407524.19;3689713.76
611;2447540.65;808559.31;1241601.16;3462.12;393918.06;51824.15;574637.62;196186.4;166187.41;94425.32;308709.13;3839510.68
1421;5715858.88;1611039.14;3488984;18692.15;597143.59;120135.6;915825.87;9025.06;611789.06;105974.34;840619.36;8319228.17
212;1406995.97;927628.31;285661.12;43248.63;150457.91;3583.57;159623.12;121437.92;86848.02;51164.26;664429.18;2494082.04
115;3759344.99;1646033.45;1489455.22;10865.89;612990.43;690.21;312580.1;85720.48;836303.04;105043.13;152338.19;5252020.14
1309;4160571.08;1813318.53;1593644.75;235518.69;518089.11;3972;782757.08;0;770286.63;171436.45;452016.37;6341039.61
