codigoine;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital;receitastotais;transferenciasorcamentoestado;financiamentouniaoeuropeia;impostosmunicipais;imi;imt;iuc;derramairc;taxasmultasoutrosimpostos;vendabensservicos;outrasreceitas;despesatotal
1008;8226874.32;3318429.22;4040227.41;429459.76;438757.93;3415.26;225096.54;101650.81;996114.45;858116.91;1161677.26;11594066.46;4514414;635605.32;767606.4;388212.37;151749;82506.09;0;145138.94;818640.85;4857799.89;11572945.55
905;5154111.01;1720458.13;2114634.91;1186110.12;132907.85;0;1094228.23;2656.8;103381.65;913219.26;45075.47;7100309.64;4147475;1526573.86;588606.53;282223.66;89914.95;65804.58;32532.83;118130.51;675011.6;162642.65;7312672.42
404;4950818.74;2861277.84;1258282.79;297502.06;533756.05;58359.79;587594.62;0;1121227.27;2109449.66;1353436.74;9639986.77;4854147;2359762.91;240683.32;107639.4;57267.55;36572.2;0;39204.17;494838.63;1690554.91;10180886.82
1208;3472628.12;1684563.85;1425095.53;55290.77;307677.97;18000;345882.27;614799.8;369415.17;1184094.48;378019.75;6694000.04;3111036;1862707.34;349365.21;190046.97;64448.85;42679.81;22005.14;30184.44;568191.58;802699.91;6382839.59
3103;50976722.95;29822565.23;15528316.7;1491706.41;4134134.61;3317694.45;991950.73;5235496.26;3352565.36;3267278.47;10096274.83;77748406.19;15612293;326482;33574157.83;12901520.48;11391654.35;2012392.76;0;7268590.24;19581866.94;8653606.42;77237983.05
504;13410674.13;5359232.32;5897741.04;1751080.92;402619.85;165833.41;947246.22;1172128.67;5165435.24;1717684.73;6669357.61;29316425.85;10525840.02;4723570.8;4986448.45;2605046.94;1116629.06;403945.54;31126.92;829699.99;4999905.82;4080660.76;29248360.01
1209;4116090.02;2070784.39;1588092.34;42009.9;415203.39;18825.31;166737.69;82362.35;1133073.19;739593.22;419853.57;7496752.41;4041112;1012020.98;587823.61;216696.46;233407.28;40486.67;0;97233.2;1294737.15;561058.67;6676535.35
606;5246223.99;2736092.29;1870457.09;54938.31;584736.3;142027.5;1035661.92;152100.96;230733.69;744838.08;879072.68;8244563.98;4579629;1118655.22;694321.16;352898.02;64233.32;49724.46;0;227465.36;1005438.69;846519.91;8430658.82
1412;4423393.07;2310928.43;1669994.51;56604.07;385866.06;2576.02;569699.21;57883.66;259270.8;487715.38;506679.05;6231936.06;3103197.75;570848.36;945475.06;387454.55;101520.44;71899.46;63574.24;321026.37;741551.56;870863.33;6307217.19
1304;48967969.54;25183764.47;17554458.01;774675.26;5455071.8;2470708.85;22408847.3;138723.87;2389215.3;2211246.46;8534841.15;86729131.05;18355042;10958828.38;26269958.26;15486335.94;3322893.43;2366163.1;2640518.47;2454047.32;11492759.51;19652542.9;87121552.47
906;6323594.31;2843657.7;1482627.48;186311.76;1810997.37;40721.8;255760.75;387991.57;1471321.92;1417614.6;1714840.32;11514015.77;6891318;1049298.01;1499391.89;917157.04;201023.21;203403.56;73239.25;104568.83;1577268.96;496738.91;11611845.27
1505;15293881.89;8853739.48;4441208.18;226689.04;1772245.19;395167.35;858457.46;103900.76;765435.88;1681967.22;1272369.34;19822676.54;6654882;2182036.58;5862150.04;2650038.48;1422803.13;217018.86;209049.44;1363240.13;2619172.26;2504435.66;20371179.9
907;20123957.02;10149982.47;6703193.06;909206.41;2361575.08;569355.02;2001224.87;109210.14;2719315.89;1462283.54;6875168.54;33686182.62;13618613;5675997.98;6343159.5;4258598.89;766904.03;745355.68;251958.19;320342.71;5883761.8;2164650.34;33860515.02
308;56115519.79;25014197.7;18818200.04;1128929.81;11154192.24;1264222.68;8078471.65;0;11280504.6;16483864.95;8523044.33;101099635.4;24618696;19832943.78;27462054.74;15600067.91;4084172.6;2415157.25;2157916;3204740.98;8033712.53;21152228.33;101745628
4701;6466991.78;3507360.75;1671325.82;138925.48;1149379.73;0;58725.7;103069.02;1226907.46;721224.88;2059552.19;10562818.81;5522648;770912.58;1733106.96;785476.85;332228.21;219900.07;145785.13;249716.7;1478123.88;1058027.39;10636471.03
505;11038081.96;4436357.67;5692050.19;75820.61;833853.49;138578.68;405005.99;20025.91;537928.14;2034005.94;2056690.16;17751136.85;11812688;2338152.4;867082.21;415514.78;260114.49;95075.17;0;96377.77;2091433.96;641780.28;16230316.78
110;14123486.76;6863017.89;5993596.77;682229.69;584642.41;409531.91;3805085.35;401197.31;5030592.68;1110226.21;2910685.64;27255791.62;5687153;7476469.95;7723644.69;4437721.17;1495144.1;722573.76;487365.19;580840.47;3443250.8;2925273.18;27790805.86
806;22688252.14;7214130.53;12526170.33;398861.09;2549090.19;53680.27;945020.34;752198.59;267710.47;654291.51;1338711.87;26399509.97;3982522;363060.92;14113374.19;7486615.18;4086713.25;529614.38;0;2010431.38;7292848;647704.86;26699865.19
4201;5687058.71;2367721.87;1633303.86;191591.81;1494441.17;84111.4;80713.41;190583.69;614752.83;888856.42;5944640.36;13558652.84;4739919;875007.21;1650008.79;715573.75;466972.21;147381.85;94893.98;225187;1723871.74;4569846.1;13490716.82
807;32042504.68;12897006.99;12603542.03;914335.4;5627620.26;1236983.53;1123006.78;740964.33;681382.08;887448.17;1793319.42;37825224.93;3465792;324877.38;19088907.56;10075546.87;4975357.94;653464.98;271202.98;3113334.79;10258801.35;4686846.64;38505608.99
4801;1979686.11;1085233.84;811906.71;31403.87;51141.69;6465.04;407590.81;86425.05;348044.62;425108.87;401545.82;3344670.43;2736828;149522.08;93736.57;31594.55;35171.26;17103.35;0;9867.41;95745.66;268838.12;3654866.32
4601;3121677.28;1462193.16;894458.16;302664.11;462361.85;45000;625005.97;46939.13;8116.15;295586.32;1862312.17;5232151.24;3963921;91252.2;289309.11;180575.94;46474.26;48803.76;0;13455.15;444456.24;443212.69;6004637.02
1805;11642145.06;4604536.04;4609620.37;367243.53;2060745.12;93674.22;5534183.98;414813.67;1970007.31;604320.86;4825257.38;24271600.47;8192307;5604759.72;4020316.96;2099669.4;394653.52;380842.68;245809.31;899342.05;4679795.27;1774421.52;25084402.48
1009;42594977.27;12841964.52;16675842.92;1194671.73;11882498.1;271542;3113099.67;152648.93;3649886.65;4969753.78;7998352.73;61070182.15;16839785;5440682.11;26706062.22;12961418.3;5447770.03;2523297.65;3087427.47;2686148.77;8003799.65;4079853.17;62750261.03
1106;422820702.3;242755702.2;108197506.4;13273867.63;58593626.07;4146268.64;5902026.09;5108829.29;6069211.58;23979337.28;114641704.1;579701290.9;63063179;14131.2;367261836.3;109860845.4;86171238.99;14555683.61;72302326.33;84371741.99;81008664.26;68353480.17;582668079.2
808;57574009.82;28902427.26;21933758.92;969565.07;5768258.57;316413.85;3244976.27;9685721.39;4424198.66;5033498.54;10893632.92;89377817.84;8795167;7033913.3;49889637.67;26397729.57;16756549.37;1678642.41;906757.85;4149958.47;11775192.73;11883907.14;91172451.45
1107;85184974.69;38172285.29;29603917.34;1336327.4;16072444.66;164821.86;2734990.91;2591197.43;2807487.92;2149375.83;9476415.91;103021239.9;20745975;60931.96;49876961.97;27064277.59;9491880.45;3732854.25;5096310.89;4491638.79;6686637.04;25650733.95;105109264.6
1108;13547649.51;5827460.31;5750108.5;657466.8;1312613.9;1580;4005760.5;391883.39;1171976.5;291166.64;2501204.95;22049422.97;4505427.94;2862305.38;5353012.48;2940815.65;1200074.72;444092.05;316699.53;451330.53;5217844.74;4110832.43;21911221.49
